selected_at,player_name,matchup,market_type,side,line,sportsbook,offered_american_odds,ev_pct,model_score,confidence_score,pinnacle_approved,pinnacle_found,pick_status,outcome,risk_units,profit_units,event_start_time
2026-09-04 16:52:36.396753+00,Alec Bohm,Atlanta Braves @ Philadelphia Phillies,batting_totalBases_ou,OVER,1.5,betrivers,180,8.8472,8.5,77.81,1,1,ACTIVE,pending,,,2026-09-04T22:41:00Z
2026-09-04 16:52:36.797682+00,Ben Malgeri,Detroit Tigers @ Cleveland Guardians,batting_homeRuns_ou,OVER,0.5,betrivers,850,9.375,8.0,69.53,,0,ACTIVE,pending,,,2026-09-04T18:11:00Z
2026-09-04 19:13:24.505972+00,Janson Junk,Chicago Cubs @ Miami Marlins,pitching_outs_ou,OVER,13.5,draftkings,-120,3.9147,7.1,61.28,,0,ACTIVE,pending,,,2026-09-04T23:10:00Z
2026-09-04 20:33:41.417405+00,Braden Montgomery,Minnesota Twins @ Chicago White Sox,batting_totalBases_ou,OVER,1.5,betrivers,175,8.992,8.6,78.11,1,1,ACTIVE,pending,,,2026-09-04T23:41:00Z
2026-09-04 20:33:41.722829+00,Griffin Conine,Chicago Cubs @ Miami Marlins,batting_homeRuns_ou,OVER,0.5,betrivers,450,9.7826,8.1,70.38,,0,ACTIVE,pending,,,2026-09-04T23:10:00Z
2026-09-04 23:14:15.696811+00,Jo Adell,Detroit Tigers @ Cleveland Guardians,batting_totalBases_ou,OVER,1.5,betrivers,143,9.7071,8.8,79.6,,0,ACTIVE,pending,,,2026-09-04T23:46:00Z
2026-09-05 00:34:12.614348+00,Austin Hays,New York Yankees @ San Diego Padres,batting_homeRuns_ou,OVER,0.5,williamhill_us,850,9.375,8.0,69.53,,0,ACTIVE,pending,,,2026-09-05T01:41:00Z
2026-09-05 00:34:12.801068+00,TJ Rumfield,St. Louis Cardinals @ Colorado Rockies,batting_homeRuns_ou,OVER,0.5,betrivers,900,8.8235,7.8,68.38,,0,ACTIVE,pending,,,2026-09-05T00:41:00Z
2026-09-05 00:34:12.804279+00,Max Muncy,Washington Nationals @ Los Angeles Dodgers,batting_homeRuns_ou,OVER,0.5,betrivers,360,6.7901,7.3,64.15,,0,ACTIVE,pending,,,2026-09-05T02:11:00Z
2026-09-05 17:19:03.912366+00,Bobby Witt Jr.,Toronto Blue Jays @ Kansas City Royals,batting_totalBases_ou,OVER,1.5,betrivers,112,9.5845,8.8,82.47,,0,ACTIVE,pending,,,2026-09-05T23:11:00Z
2026-09-05 17:19:04.097206+00,Pedro Ramirez,Chicago Cubs @ Miami Marlins,batting_totalBases_ou,OVER,1.5,betrivers,175,8.992,8.6,81.23,1,1,ACTIVE,pending,,,2026-09-05T20:11:00Z
2026-09-05 20:00:10.404774+00,Jonah Cox,San Francisco Giants @ New York Mets,batting_totalBases_ou,OVER,1.5,betrivers,165,9.5041,8.6,76.05,,0,ACTIVE,pending,,,2026-09-05T20:11:00Z
2026-09-06 00:00:54.704553+00,Jordan Beck,St. Louis Cardinals @ Colorado Rockies,batting_totalBases_ou,OVER,1.5,betrivers,165,7.698,8.2,75.41,1,1,ACTIVE,pending,,,2026-09-06T00:11:00Z
2026-09-06 00:00:54.904367+00,Cole Young,Athletics @ Seattle Mariners,batting_homeRuns_ou,OVER,0.5,williamhill_us,850,9.375,8.0,69.53,,0,ACTIVE,pending,,,2026-09-06T01:41:00Z
2026-09-06 00:00:54.907842+00,Freddie Freeman,Washington Nationals @ Los Angeles Dodgers,batting_homeRuns_ou,OVER,0.5,betrivers,540,8.1818,7.7,67.05,,0,ACTIVE,pending,,,2026-09-06T01:11:00Z
2026-09-06 13:24:47.818939+00,Ernie Clement,Toronto Blue Jays @ Kansas City Royals,batting_totalBases_ou,OVER,1.5,betrivers,140,9.34,8.7,85.08,,0,ACTIVE,pending,,,2026-09-06T18:11:00Z
2026-09-06 13:24:48.014138+00,Ryan Jeffers,Minnesota Twins @ Chicago White Sox,batting_homeRuns_ou,OVER,0.5,betrivers,410,10.0,8.1,70.83,,0,ACTIVE,pending,,,2026-09-06T22:20:00Z
2026-09-06 13:24:48.017276+00,Andrew Alvarez,Washington Nationals @ Los Angeles Dodgers,pitching_outs_ou,OVER,14.5,betrivers,-113,6.541,7.9,76.13,,0,ACTIVE,pending,,,2026-09-07T02:11:00Z
2026-09-06 16:05:29.615499+00,Jo Adell,Detroit Tigers @ Cleveland Guardians,batting_totalBases_ou,OVER,1.5,betrivers,163,9.5833,8.7,79.34,,0,ACTIVE,pending,,,2026-09-06T17:40:00Z
2026-09-06 16:05:29.897784+00,Kyle Schwarber,Atlanta Braves @ Philadelphia Phillies,batting_homeRuns_ou,OVER,0.5,betrivers,270,9.7826,8.4,73.51,1,1,ACTIVE,pending,,,2026-09-06T17:10:00Z
